Number,Name,Range,LFO Rate,LFO Delay,LFO Trigger,DCO Lfo,DCO PWM,DCO Lfo Mod,DCO Pulse,DCO Saw,DCO Sub Enabled,DCO Sub,DCO Noise,HPF,VCF Freq,VCF Res,VCF Dir,VCF Env,VCF LFO,VCF Key,VCA Dir,VCA Value,ENV Attack,ENV Decay,ENV Sustain,ENV Release,Chorus
11,Strings 1,N,6,0,A,0,0,L,0,1,0,0,0,0,7,0,N,0,0,10,E,0,4,0,10,4.5,1
12,Strings 2,N,4,0,A,0,6,L,1,1,0,0,0,0,7,0,N,0,0,10,E,-2,4,0,10,4.5,2
13,Strings 3,N,3,8,M,0,7,L,1,1,1,10,0,0,5,0,N,0,0,10,E,-2,3,0,10,6,2
14,Organ 1,N,2,8,A,0,5,M,1,0,1,10,0,0,4,6,N,4.5,0,10,G,0,0,0,0,0,1
15,Organ 2,N,5,4,A,0,5.5,L,1,0,1,8,0,0,3.5,5.5,N,4,0,10,G,0,0,1,0,1,1
16,Organ 3,U,5,4,A,0,5.5,L,1,0,1,8,0,0,3.5,5.5,N,3.5,0,10,G,0,0,1,0,1,2
17,Brass,N,5,6.5,A,1.5,0,M,0,1,0,0,0,0,0,0,N,8.5,0,4,E,2,2.5,4,6,2,1
18,Phase Brass,N,6,0,A,0,10,E,1,1,0,10,0,0,3,1,N,5.5,0,10,G,-1,2,4,4,3,1
21,Piano 1,N,6,3,M,4.5,6,M,1,0,0,0,0,0,1,0,N,7,0,4,E,2,0,8,1.5,3,0
22,Piano 2,U,4,0,A,0,4,M,1,0,1,4.5,0,0,3.5,0,N,2.5,2,8,E,3,0,7.5,0,3.5,0
23,Celesta,N,3.5,6,A,0,5,E,1,1,0,10,0,1,3.5,8,N,0,0,10,E,1,0,6.5,2,5.5,0
24,Mellow Piano,N,5,0,M,0,5,M,1,0,0,10,0,0,3,0,N,2.5,1,9,E,2,1,7.5,2,8.5,1
25,Harpsichord 1,U,5,4,A,0,3,M,1,0,1,7,0,1,3,0,N,5,0,7,E,-1,0,6,3.5,2.5,1
26,Harpsichord 2,U,5.5,6,A,0,2,M,1,0,1,8.5,0,1,5,2.5,N,3,0,10,E,0,0,5,1.5,5,2
27,Guitar,N,6,6,A,0,6,M,1,0,0,10,0,2,3,0,N,4.5,1.5,5,E,4,0,5.5,3.5,6.5,0
28,Synthesizer Harp,N,3,8,M,0,0,M,0,1,0,10,0,0,3,0,N,5,0,8,E,1,0,5.5,3,5,1
